EXP,YEAR,LOC,RANGE,ROW,PLOT,REP,NITRO,WEED,PED,HYB,STC,PDT,HDT,MFL,FFL,DTA,DTS,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STA,FIB,ASH,DENS,MCA,PROTA,OLA,STRA,DTA,TWA,FRA,TEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,Bray1P,TOC,TN,Soil CN,Sand,Silt ,Clay,SMC,InorgN,POMN,POMC,POMCN,PMN,POXC,FDA,Plot2,NH4N-V8,NO3N-V8,POMN-V8,POMC-V8,POMCN-V8,PMN-V8,POXC-V8,BD-V8,NH4N-VT,NO3N-VT,POMN-VT,POMC-VT,POMCN-VT,PMN-VT,POXC-VT,BD-VT,NH4N-R2,NO3N-R2,POMN-R2,POMC-R2,POMCN-R2,PMN-R2,POXC-R2,BD-R2
OREI_Replicated_Exp,2018,Pana,1,5,12110,1,N2,WPLUS,17.461,ORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.923333333,1.793333333,61.58166667,0.286666667,94.08333333,277,164,23.372,21.04,9.4800728,14.9,58,181.4517445,10.4,5.2,67.8,NA,NA,NA,10,10.4,5.2,67.8,1.161,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12110,2.71,30.81,0.224477612,2.94159204,12.9832,13.016,547.1532,1.13820151,3.1,NA,0.370517928,4.18685259,11.5592,38.568,585,1.136657024,NA,NA,NA,NA,NA,NA,NA,1.063948415
OREI_Replicated_Exp,2018,Pana,1,9,12103,1,N2,WPLUS,PHHB9*PHW30,UIUC3,0,5/25/2018,10/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,3.3,72.3,NA,NA,NA,10.3,8.4,3.3,72.3,1.283,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,13,12106,1,N2,WPLUS,PHP38*Q381,UIUC6,13,5/25/2018,10/15/2018,NA,NA,NA,NA,1.853333333,1.735,86.1675,0.885833333,134.25,230,100,25.142,21.558,4.68106944,16.4,58.2,87.71548832,10.2,3.7,70.3,NA,NA,NA,9.4,10.2,3.7,70.3,1.288,59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,17,12101,1,N2,WPLUS,PHHB9*PHM49,UIUC1,1,5/25/2018,10/15/2018,NA,NA,NA,NA,1.823333333,1.7075,93.47666667,4.629166667,167.1666667,222,82,20.21,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,21,12108,1,N2,WPLUS,PHW52*Q381,UIUC8,1,5/25/2018,10/15/2018,NA,NA,NA,NA,1.875,1.74375,83.41375,1.365,191.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,25,12107,1,N2,WPLUS,PHW52*LH185,UIUC7,16,5/25/2018,10/15/2018,NA,NA,NA,NA,1.866666667,1.709166667,69.84583333,1.338333333,90.91666667,255,110,25.106,22.174,8.49124224,15,59.3,158.7754573,8,3.5,72.1,NA,NA,NA,10.6,8,3.5,72.1,1.258,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12107,2.66,22.12,0.17982018,2.475524476,13.9821,18.936,486.576,1.10533183,2.36,16.89,0.201097804,2.718063872,13.6778,14.448,470.736,1.304502575,3.183006536,16.93699346,0.170929071,2.275124875,13.2654,20.34959477,511.938,1.198852657
OREI_Replicated_Exp,2018,Pana,1,29,12105,1,N2,WPLUS,PHHB9*Q381,UIUC5,15,5/25/2018,10/15/2018,NA,NA,NA,NA,1.83,1.745,71.55166667,2.631666667,107.25,232,98,25.164,22.03,5.75608248,15.7,61.8,102.4268972,8.7,3.5,71.9,NA,NA,NA,9.5,8.7,3.5,71.9,1.284,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,37,11304,1,N1,WPLUS,PHHB9*PHZ51,UIUC4,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.84,1.685833333,84.25166667,4.0675,110,255,105,23.048,21.7475,9.90191336,15.6,60,181.7013807,8.8,3.8,71.1,NA,NA,NA,10.6,8.8,3.8,71.1,1.256,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,37,12109,1,N2,WPLUS,461.2B24,ORG2,14,5/25/2018,10/15/2018,NA,NA,NA,NA,1.883333333,1.759166667,92.50166667,2.281666667,103.25,227,102,20.202,18.976,2.48114824,14.6,54.9,50.34845496,10.3,3.9,69.5,NA,NA,NA,10.5,10.3,3.9,69.5,1.216,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,41,12102,1,N2,WPLUS,PHHB9*PHR63,UIUC2,1,5/25/2018,10/15/2018,NA,NA,NA,NA,1.805,1.755,108.8375,4.59625,137.375,178,55,32.99,29.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
