EXP,Year,Loc,Range,Row,Plot,REP,Nitro,Weed,HYB,Code,TRT,STC,PDT,HDT,MFL,FFL,DTA,DTS,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
REPLICATED TRIAL,2019,UIUC2019,1,21,1021,1,N2,WMINUS,59R5,CHECK,UIUC2019N2WMINUSCHECK,54,10-Jun,10/19/2019,1-Aug,2-Aug,52,53,1.87,1.94,111.53,NA,103.92,272,122,27,24.16,7.34365448,21.1,59,134.9734192,8.4,4.3,70.9
REPLICATED TRIAL,2019,UIUC2019,4,17,4017,1,N1,WMINUS,59R5,CHECK,UIUC2019N1WMINUSCHECK,67,10-Jun,10/19/2019,4-Aug,6-Aug,55,57,1.87,1.93,100.71,NA,108.67,297,140,26.34,23.52,7.99682696,25.4,61.4,138.9682336,7.8,3.3,73.2
REPLICATED TRIAL,2019,UIUC2019,5,17,5017,1,N3,WMINUS,59R5,CHECK,UIUC2019N3WMINUSCHECK,66,10-Jun,10/19/2019,3-Aug,4-Aug,54,55,1.88,1.93,98.83,NA,113.5,293,134,26.04,23.42,10.75466632,26.4,62.5,184.3884722,8.7,3.5,72.1
REPLICATED TRIAL,2019,UIUC2019,7,21,7021,2,N2,WMINUS,59R5,CHECK,UIUC2019N2WMINUSCHECK,64,10-Jun,10/19/2019,6-Aug,8-Aug,57,59,1.87,1.94,99.75,NA,106.83,271,123,26.34,22.26,7.66116888,27.6,58.6,129.2089548,8.8,4.6,70.1
REPLICATED TRIAL,2019,UIUC2019,9,25,9025,2,N3,WMINUS,59R5,CHECK,UIUC2019N3WMINUSCHECK,63,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.86,1.93,103.82,NA,104.17,276,121,24.14,21.68,10.79095368,26.4,62.3,185.0106181,8.3,3.5,72.8
REPLICATED TRIAL,2019,UIUC2019,12,13,12013,2,N1,WMINUS,59R5,CHECK,UIUC2019N1WMINUSCHECK,67,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.91,1.95,97.47,NA,113.67,267,120,23.48,20.38,6.3956472,22,58.4,116.2085582,9.6,4.5,69.5
REPLICATED TRIAL,2019,UIUC2019,13,17,13017,3,N3,WMINUS,59R5,CHECK,UIUC2019N3WMINUSCHECK,65,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.88,1.94,110.74,NA,110.09,283,147,25.92,22.75,9.87469784,25.2,62.5,172.0617852,7.4,3,74
REPLICATED TRIAL,2019,UIUC2019,15,37,15037,3,N1,WMINUS,59R5,CHECK,UIUC2019N1WMINUSCHECK,64,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.9,1.94,96.12,NA,105.92,288,125,23.68,21.46,8.13290456,23.5,58.8,144.9326131,6.6,3.3,73.9
REPLICATED TRIAL,2019,UIUC2019,18,17,18017,3,N2,WMINUS,59R5,CHECK,UIUC2019N2WMINUSCHECK,61,10-Jun,10/19/2019,3-Aug,5-Aug,54,56,1.89,1.94,103.89,NA,95.92,263,124,23.49,20.78,9.37121072,25.5,60.4,162.6338667,9.1,3.4,72
REPLICATED TRIAL,2019,UIUC2019,19,5,19005,4,N3,WMINUS,59R5,CHECK,UIUC2019N3WMINUSCHECK,53,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.87,1.93,104.91,NA,109,274,112,24.67,21.98,10.31468208,26.5,61.9,176.6046755,8.2,4.8,70.4
REPLICATED TRIAL,2019,UIUC2019,22,17,22017,4,N1,WMINUS,59R5,CHECK,UIUC2019N1WMINUSCHECK,60,10-Jun,10/19/2019,6-Aug,8-Aug,57,59,1.95,1.97,93.51,NA,79.84,232,102,21.21,19.36,5.44763992,25.3,57,94.79556226,8,4.8,70.7
REPLICATED TRIAL,2019,UIUC2019,24,9,24009,4,N2,WMINUS,59R5,CHECK,UIUC2019N2WMINUSCHECK,62,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.9,1.95,91.78,NA,94.5,252,123,21.98,19.8,7.27107976,24.8,59.9,127.3725257,7.9,3.2,73.2
REPLICATED TRIAL,2019,UIUC2019,2,21,2021,1,N2,WPLUS,59R5,CHECK,UIUC2019N2WPLUSCHECK,62,10-Jun,10/19/2019,1-Aug,3-Aug,52,54,1.83,1.92,97.27,NA,111.92,300,140,25.52,22.66,8.40505976,23.1,60.7,150.5657379,8.8,4.6,70.1
REPLICATED TRIAL,2019,UIUC2019,3,17,3017,1,N1,WPLUS,59R5,CHECK,UIUC2019N1WPLUSCHECK,60,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.88,1.94,94.88,NA,112.58,296,135,24.84,22.66,6.59522768,23.9,60.2,116.9158687,8,3.3,72.8
REPLICATED TRIAL,2019,UIUC2019,6,17,6017,1,N3,WPLUS,59R5,CHECK,UIUC2019N3WPLUSCHECK,60,10-Jun,10/19/2019,3-Aug,5-Aug,54,56,1.89,1.94,97.48,NA,107.92,272,122,21.96,20.08,9.51182424,27.6,61.2,160.4210647,8.2,3.4,72.9
REPLICATED TRIAL,2019,UIUC2019,8,21,8021,2,N2,WPLUS,59R5,CHECK,UIUC2019N2WPLUSCHECK,65,10-Jun,10/19/2019,6-Aug,8-Aug,57,59,1.91,1.96,104.41,NA,89.17,262,122,23.7,21.58,6.76759264,27.7,61.1,113.980752,8.2,4.3,71
REPLICATED TRIAL,2019,UIUC2019,10,25,10025,2,N3,WPLUS,59R5,CHECK,UIUC2019N3WPLUSCHECK,68,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.91,1.95,90.78,NA,101.59,272,128,23.62,20.64,10.11963752,26.6,60.9,173.0294502,7.8,3.4,73
REPLICATED TRIAL,2019,UIUC2019,11,13,11013,2,N1,WPLUS,59R5,CHECK,UIUC2019N1WPLUSCHECK,65,10-Jun,10/19/2019,4-Aug,6-Aug,55,57,1.91,1.96,105.23,NA,99.42,267,127,21.04,18.9,5.00765568,24.8,57.7,87.72256292,10,4.3,69.4
REPLICATED TRIAL,2019,UIUC2019,14,17,14017,3,N3,WPLUS,59R5,CHECK,UIUC2019N3WPLUSCHECK,53,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.85,1.94,115.88,NA,103.25,277,117,23.58,20.98,8.52299368,25.1,61.1,148.7075421,7.5,2.9,74
REPLICATED TRIAL,2019,UIUC2019,16,37,16037,3,N1,WPLUS,59R5,CHECK,UIUC2019N1WPLUSCHECK,65,10-Jun,10/19/2019,4-Aug,6-Aug,55,57,1.94,1.96,91.82,NA,88.5,272,120,21.95,19.53,7.69292032,24.8,58.8,134.7621981,7.2,3.3,73.8
REPLICATED TRIAL,2019,UIUC2019,17,17,17017,3,N2,WPLUS,59R5,CHECK,UIUC2019N2WPLUSCHECK,63,10-Jun,10/19/2019,3-Aug,4-Aug,54,55,1.93,1.96,93.68,NA,86.42,266,123,21,18.86,7.19850504,24.4,59.5,126.7719352,10.3,3.7,70.8
REPLICATED TRIAL,2019,UIUC2019,20,5,20005,4,N3,WPLUS,59R5,CHECK,UIUC2019N3WPLUSCHECK,59,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.87,1.93,83.83,NA,111.92,276,120,24.01,21.67,8.13290456,26.3,59.1,139.62789,8.7,4.3,70.1
REPLICATED TRIAL,2019,UIUC2019,21,17,21017,4,N1,WPLUS,59R5,CHECK,UIUC2019N1WPLUSCHECK,60,10-Jun,10/19/2019,6-Aug,7-Aug,57,58,1.95,1.97,71.07,NA,72.09,230,109,19.59,17.08,4.94868872,25.7,59.2,85.65208947,8.3,4.5,70.6
REPLICATED TRIAL,2019,UIUC2019,23,9,23009,4,N2,WPLUS,59R5,CHECK,UIUC2019N2WPLUSCHECK,68,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.91,1.94,90.92,NA,89.08,241,109,20.96,18.65,4.82621888,25.1,58.3,84.20693176,7.4,3.2,73.5
REPLICATED TRIAL,2018,Pana,1,5,12110,1,N2,WPLUS,17.461,ORG1,PanaN2WPLUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.923333333,1.793333333,61.58166667,0.286666667,94.08333333,277,164,23.372,21.04,9.4800728,14.9,58,181.4517445,10.4,5.2,67.8
