EXP,Year,Loc,Range,Row,Plot,REP,Nitro,Weed,HYB,Code,STC,PDT,HDT,FDT,FDS,RTA,SDI,PHT,EHT,GWT,MST,TWT,YIELD
REPLICATED TRIAL,2018,Pana,1,5,12110,1,N2,WPLUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.923333333,1.793333333,61.58166667,94.08333333,277,164,9.4800728,14.9,58,181.4517445
REPLICATED TRIAL,2018,Pana,1,9,12103,1,N2,WPLUS,PHHB9*PHW30,UIUC3,0,5/25/2018,10/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,1,13,12106,1,N2,WPLUS,PHP38*Q381,UIUC6,13,5/25/2018,10/15/2018,1.853333333,1.735,86.1675,134.25,230,100,4.68106944,16.4,58.2,87.71548832
REPLICATED TRIAL,2018,Pana,1,17,12101,1,N2,WPLUS,PHHB9*PHM49,UIUC1,1,5/25/2018,10/15/2018,1.823333333,1.7075,93.47666667,167.1666667,222,82,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,1,21,12108,1,N2,WPLUS,PHW52*Q381,UIUC8,1,5/25/2018,10/15/2018,1.875,1.74375,83.41375,191.625,NA,NA,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,1,25,12107,1,N2,WPLUS,PHW52*LH185,UIUC7,16,5/25/2018,10/15/2018,1.866666667,1.709166667,69.84583333,90.91666667,255,110,8.49124224,15,59.3,158.7754573
REPLICATED TRIAL,2018,Pana,1,29,12105,1,N2,WPLUS,PHHB9*Q381,UIUC5,15,5/25/2018,10/15/2018,1.83,1.745,71.55166667,107.25,232,98,5.75608248,15.7,61.8,102.4268972
REPLICATED TRIAL,2018,Pana,3,37,11304,1,N1,WPLUS,PHHB9*PHZ51,UIUC4,28,5/25/2018,10/15/2018,1.84,1.685833333,84.25166667,110,255,105,9.90191336,15.6,60,181.7013807
REPLICATED TRIAL,2018,Pana,1,37,12109,1,N2,WPLUS,461.2B24,ORG2,14,5/25/2018,10/15/2018,1.883333333,1.759166667,92.50166667,103.25,227,102,2.48114824,14.6,54.9,50.34845496
REPLICATED TRIAL,2018,Pana,1,41,12102,1,N2,WPLUS,PHHB9*PHR63,UIUC2,1,5/25/2018,10/15/2018,1.805,1.755,108.8375,137.375,178,55,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,2,5,11110,1,N2,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.923333333,1.765833333,78.385,97.5,252,142,10.8181692,15.4,57,209.4581127
REPLICATED TRIAL,2018,Pana,2,9,11103,1,N2,WMINUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.843333333,1.716666667,82.82666667,169.3333333,292,130,10.76827408,15.9,62.2,189.9326471
REPLICATED TRIAL,2018,Pana,2,13,11106,1,N2,WMINUS,PHP38*Q381,UIUC6,25,5/25/2018,10/15/2018,1.86,1.794166667,78.8725,119,244,120,8.87225952,14.9,58.7,167.7929095
REPLICATED TRIAL,2018,Pana,2,17,11101,1,N2,WMINUS,PHHB9*PHM49,UIUC1,3,5/25/2018,10/15/2018,1.81,1.80625,86.225,144.875,203,87,3.8101728,16.7,57.8,71.63243996
REPLICATED TRIAL,2018,Pana,2,21,11108,1,N2,WMINUS,PHW52*Q381,UIUC8,8,5/25/2018,10/15/2018,1.826666667,1.8,133.1416667,81.75,202,75,2.49022008,16.1,54.9,49.64497041
REPLICATED TRIAL,2018,Pana,2,25,11107,1,N2,WMINUS,PHW52*LH185,UIUC7,14,5/25/2018,10/15/2018,1.876666667,1.731666667,86.94166667,108.25,240,110,9.43017768,15.3,58.4,178.417869
REPLICATED TRIAL,2018,Pana,2,29,11105,1,N2,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.883333333,1.7275,81.79666667,130.5833333,240,105,6.60429952,14.9,60.6,120.9850216
REPLICATED TRIAL,2018,Pana,4,37,12304,1,N1,WMINUS,PHHB9*PHZ51,UIUC4,22,5/25/2018,10/15/2018,1.846666667,1.660833333,95.74666667,101.3333333,245,95,8.80875664,14.8,59.9,163.4463751
REPLICATED TRIAL,2018,Pana,2,37,11109,1,N2,WMINUS,461.2B24,ORG2,16,5/25/2018,10/15/2018,1.833333333,1.756666667,63.17166667,112.5,246,130,6.11442016,15.7,56.4,119.2206975
REPLICATED TRIAL,2018,Pana,2,41,11102,1,N2,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.816666667,1.748333333,78.9,130.5,212,87,4.31365992,15.4,57.8,82.36379272
REPLICATED TRIAL,2018,Pana,3,5,11308,1,N1,WPLUS,PHW52*Q381,UIUC8,9,5/25/2018,10/15/2018,1.88,1.740833333,71.5675,124.8333333,198,85,3.56523312,15.6,59.6,65.86156229
REPLICATED TRIAL,2018,Pana,3,9,11307,1,N1,WPLUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.87,1.685,95.3,104.125,246,105,10.34643352,15.4,57.5,198.5825572
REPLICATED TRIAL,2018,Pana,3,13,11306,1,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.92,1.786666667,101.5358333,84.33333333,255,115,9.23513312,15.1,60.8,168.2267985
REPLICATED TRIAL,2018,Pana,3,17,11303,1,N1,WPLUS,PHHB9*PHW30,UIUC3,22,5/25/2018,10/15/2018,1.86,1.7475,74.52833333,127.6666667,276,130,10.5006548,15.3,60.6,191.4586873
REPLICATED TRIAL,2018,Pana,3,21,11302,1,N1,WPLUS,PHHB9*PHR63,UIUC2,14,5/25/2018,10/15/2018,1.816666667,1.735833333,113.0608333,135.75,230,115,4.11861536,15.5,58,78.27586207
REPLICATED TRIAL,2018,Pana,3,25,11301,1,N1,WPLUS,PHHB9*PHM49,UIUC1,13,5/25/2018,10/15/2018,1.88,1.748333333,78.6675,153.25,255,145,5.5338224,18,62.1,95.32248997
REPLICATED TRIAL,2018,Pana,3,29,11310,1,N1,WPLUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.933333333,1.754166667,77.47333333,84.08333333,257,130,8.20547928,14.7,56.2,162.4667818
REPLICATED TRIAL,2018,Pana,3,33,11305,1,N1,WPLUS,PHHB9*Q381,UIUC5,14,5/25/2018,10/15/2018,1.866666667,1.738333333,67.67583333,104.3333333,225,90,6.39111128,15,57.9,122.3952744
REPLICATED TRIAL,2018,Pana,1,33,12104,1,N2,WPLUS,PHHB9*PHZ51,UIUC4,21,5/25/2018,10/15/2018,1.81,1.711666667,103.4016667,126.3333333,270,130,8.0058988,16.3,59.1,147.9094705
REPLICATED TRIAL,2018,Pana,3,41,11309,1,N1,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.863333333,1.715,79.6675,100,215,100,6.22328224,14.9,54.7,126.3018292
REPLICATED TRIAL,2018,Pana,4,5,12308,1,N1,WMINUS,PHW52*Q381,UIUC8,12,5/25/2018,10/15/2018,1.846666667,1.776666667,64.58083333,169,198,80,3.8328524,15.5,59,71.61016949
REPLICATED TRIAL,2018,Pana,4,9,12307,1,N1,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.913333333,1.753333333,99.44666667,88.25,235,95,9.32585152,15.5,60.1,171.0482529
REPLICATED TRIAL,2018,Pana,4,13,12306,1,N1,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.88,1.8025,78.34833333,118.6666667,247,100,9.64790184,15.2,59.4,179.6760504
REPLICATED TRIAL,2018,Pana,4,17,12303,1,N1,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.903333333,1.745833333,77.705,108,272,107,10.22396368,15.4,59.9,188.3695706
REPLICATED TRIAL,2018,Pana,4,21,12302,1,N1,WMINUS,PHHB9*PHR63,UIUC2,30,5/25/2018,10/15/2018,1.903333333,1.7525,72.80833333,127.5833333,240,100,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,4,25,12301,1,N1,WMINUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.88,1.7275,102.69125,111.125,240,105,9.69326104,17.6,61.6,169.1470068
REPLICATED TRIAL,2018,Pana,4,29,12310,1,N1,WMINUS,17.461,ORG1,23,5/25/2018,10/15/2018,1.93,1.7525,56.58583333,81.58333333,255,135,6.88552656,15.1,55.8,136.6653942
REPLICATED TRIAL,2018,Pana,4,33,12305,1,N1,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,1.9,1.751666667,87.82583333,104.25,230,100,7.24386424,16.3,60.4,130.9503703
REPLICATED TRIAL,2018,Pana,2,33,11104,1,N2,WMINUS,PHHB9*PHZ51,UIUC4,26,5/25/2018,10/15/2018,1.853333333,1.736666667,87.86666667,115.25,280,124,10.26478696,16.3,61.9,181.0642284
REPLICATED TRIAL,2018,Pana,4,41,12309,1,N1,WMINUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.903333333,1.76,92.63,105.6666667,228,138,7.20757688,16.9,55.6,140.528181
REPLICATED TRIAL,2018,Pana,5,5,12210,1,N3,WPLUS,17.461,ORG1,36,5/25/2018,10/15/2018,1.903333333,1.750833333,60.245,87.25,240,105,8.54567328,15.1,56,169.0105664
REPLICATED TRIAL,2018,Pana,5,9,12203,1,N3,WPLUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.91,1.773333333,87.795,113.8333333,280,130,10.5913732,16.3,61.4,188.3463755
REPLICATED TRIAL,2018,Pana,5,13,12206,1,N3,WPLUS,PHP38*Q381,UIUC6,23,5/25/2018,10/15/2018,1.893333333,1.775833333,60.68833333,103.75,257,115,8.84050808,15.6,60.4,161.1501234
REPLICATED TRIAL,2018,Pana,5,17,12208,1,N3,WPLUS,PHW52*Q381,UIUC8,20,5/25/2018,10/15/2018,1.866666667,1.758333333,87.2475,143.6666667,230,103,6.31400064,15,58.9,118.8655931
REPLICATED TRIAL,2018,Pana,5,21,12207,1,N3,WPLUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.863333333,1.72,92.465,104.4166667,262,113,NA,NA,NA,NA
