,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
1,1,N2,WPLUS,17.461,ORG1,1.923333333,1.793333333,61.58166667,0.286666667,94.08333333,277,164,23.372,21.04,9.4800728,14.9,58,181.4517445,10.4,5.2,67.8
3,1,N2,WPLUS,PHP38*Q381,UIUC6,1.853333333,1.735,86.1675,0.885833333,134.25,230,100,25.142,21.558,4.68106944,16.4,58.2,87.71548832,10.2,3.7,70.3
6,1,N2,WPLUS,PHW52*LH185,UIUC7,1.866666667,1.709166667,69.84583333,1.338333333,90.91666667,255,110,25.106,22.174,8.49124224,15,59.3,158.7754573,8,3.5,72.1
7,1,N2,WPLUS,PHHB9*Q381,UIUC5,1.83,1.745,71.55166667,2.631666667,107.25,232,98,25.164,22.03,5.75608248,15.7,61.8,102.4268972,8.7,3.5,71.9
8,1,N1,WPLUS,PHHB9*PHZ51,UIUC4,1.84,1.685833333,84.25166667,4.0675,110,255,105,23.048,21.7475,9.90191336,15.6,60,181.7013807,8.8,3.8,71.1
9,1,N2,WPLUS,461.2B24,ORG2,1.883333333,1.759166667,92.50166667,2.281666667,103.25,227,102,20.202,18.976,2.48114824,14.6,54.9,50.34845496,10.3,3.9,69.5
11,1,N2,WMINUS,17.461,ORG1,1.923333333,1.765833333,78.385,0.170833333,97.5,252,142,22.84,21.262,10.8181692,15.4,57,209.4581127,10.8,4.9,67.7
12,1,N2,WMINUS,PHHB9*PHW30,UIUC3,1.843333333,1.716666667,82.82666667,3.96,169.3333333,292,130,26.786,24.084,10.76827408,15.9,62.2,189.9326471,9.3,3.4,71.3
13,1,N2,WMINUS,PHP38*Q381,UIUC6,1.86,1.794166667,78.8725,0.140833333,119,244,120,26.164,22.978,8.87225952,14.9,58.7,167.7929095,10,3.9,70.1
14,1,N2,WMINUS,PHHB9*PHM49,UIUC1,1.81,1.80625,86.225,5.3125,144.875,203,87,33.205,30.555,3.8101728,16.7,57.8,71.63243996,10.9,3.4,70.1
15,1,N2,WMINUS,PHW52*Q381,UIUC8,1.826666667,1.8,133.1416667,2.4725,81.75,202,75,30.775,28.23,2.49022008,16.1,54.9,49.64497041,10.2,3.8,70.2
16,1,N2,WMINUS,PHW52*LH185,UIUC7,1.876666667,1.731666667,86.94166667,1.688333333,108.25,240,110,26.626,24.32,9.43017768,15.3,58.4,178.417869,8.8,3.6,71.4
17,1,N2,WMINUS,PHHB9*Q381,UIUC5,1.883333333,1.7275,81.79666667,0.755833333,130.5833333,240,105,22.85,21.074,6.60429952,14.9,60.6,120.9850216,8.3,3.4,72.2
18,1,N1,WMINUS,PHHB9*PHZ51,UIUC4,1.846666667,1.660833333,95.74666667,2.765833333,101.3333333,245,95,23.028,21.568,8.80875664,14.8,59.9,163.4463751,7.9,3.7,71.9
19,1,N2,WMINUS,461.2B24,ORG2,1.833333333,1.756666667,63.17166667,2.220833333,112.5,246,130,23.21,21.212,6.11442016,15.7,56.4,119.2206975,11.1,4.5,68.2
20,1,N2,WMINUS,PHHB9*PHR63,UIUC2,1.816666667,1.748333333,78.9,3.4425,130.5,212,87,26.116,24.052,4.31365992,15.4,57.8,82.36379272,9.5,3.6,70.9
21,1,N1,WPLUS,PHW52*Q381,UIUC8,1.88,1.740833333,71.5675,1.5625,124.8333333,198,85,23.388,21.702,3.56523312,15.6,59.6,65.86156229,9.9,3.8,70.2
22,1,N1,WPLUS,PHW52*LH185,UIUC7,1.87,1.685,95.3,2.8,104.125,246,105,23.404,21.148,10.34643352,15.4,57.5,198.5825572,7.4,3.6,72.4
23,1,N1,WPLUS,PHP38*Q381,UIUC6,1.92,1.786666667,101.5358333,0.130833333,84.33333333,255,115,24.67,22.082,9.23513312,15.1,60.8,168.2267985,9.7,3.9,70.5
24,1,N1,WPLUS,PHHB9*PHW30,UIUC3,1.86,1.7475,74.52833333,1.554166667,127.6666667,276,130,26.696,23.76,10.5006548,15.3,60.6,191.4586873,9.4,3.6,71
25,1,N1,WPLUS,PHHB9*PHR63,UIUC2,1.816666667,1.735833333,113.0608333,3.858333333,135.75,230,115,28.022,25.228,4.11861536,15.5,58,78.27586207,8.7,3.3,71.8
26,1,N1,WPLUS,PHHB9*PHM49,UIUC1,1.88,1.748333333,78.6675,0.558333333,153.25,255,145,29.22,27.322,5.5338224,18,62.1,95.32248997,8.8,3.4,71.6
27,1,N1,WPLUS,17.461,ORG1,1.933333333,1.754166667,77.47333333,0.008333333,84.08333333,257,130,22.136,19.974,8.20547928,14.7,56.2,162.4667818,9.8,4.3,69.2
